"globalid","bv_7gr_gi","bv_7jb_ba","bv_7jb_bt","bv_7jb_si","bv_7tk","bv_7se","bv_ad_te","bv_km_bt","bv_km_tk","bv_km_se"
"{7B82A100-D612-46DB-8A17-297CADE788A6}",NA,"7JB-BA_2","7JB-BT_2","7JB-SI_1",NA,NA,NA,"7KM-BT_1",NA,NA
"{9AD867F8-DEB6-4B44-B50F-C097784DCAC3}",NA,NA,NA,NA,"7TK_0",NA,NA,NA,"KM-TK_0",NA
"{54BB9077-2E14-4E91-B27F-50175F96CB27}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{83DE0508-3DBD-4993-BC8F-F20B4BC4B0D5}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{059867C7-534A-45D4-9389-93CC5351B4AF}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{90CE3630-1D23-4D08-9210-E4A687B1CA95}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{43A77F37-4C20-468B-AC31-043F85681912}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{C7E8DD13-CE68-410B-A2A3-CC48161F95A7}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{205DD020-E123-44B2-A1E6-9491C69D0BB0}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_X","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{BF525609-9D20-479A-88C4-AD50C4B31367}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{6BDCA51C-9337-4D53-911B-A2E74500CE33}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{962B8EAA-05B9-4E7B-8FBC-E1C681055BD8}",NA,NA,NA,NA,"7TK_0",NA,NA,NA,"KM-TK_0",NA
"{018DFE79-62D1-4E63-9C8A-DB2B59B1751B}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{0BB6CFE3-BA48-400A-939B-4460E4F50ADB}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{5FBABC96-47D2-4215-BA96-793B4242E8D4}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{CB375407-2CB5-44CD-9520-23E891522FC2}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_2",NA,"7KM-BT_0","KM-TK_0","KM-SE_2"
"{1764C796-E2BF-4EAE-A818-8A6BCF2A90A9}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{DDEE43A6-C8DC-4CB8-B97B-708456F7BA57}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_1",NA,"7KM-BT_0","KM-TK_0","KM-SE_1"
"{C771AB8C-A0BE-4544-A678-9DE5CF900D2D}","7GR-GI_1","7JB-BA_1","","7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{A63F0278-BD98-41A7-ADB9-141299BE94A5}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{32AA732F-5AB0-4629-AA84-B6939062AB56}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{F3C21FED-50DA-4B94-88D3-A68F55356361}","","","",NA,"","",NA,NA,"",""
"{F5AC6777-7004-4962-8761-935E9AF537C1}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_1",NA,"7KM-BT_0","KM-TK_0","KM-SE_1"
"{C9630D5D-EB93-4530-A32F-D29EFBB4F772}","","","",NA,"","",NA,NA,"",""
"{9EF76085-5346-40C8-9718-05200ECCEA22}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{8093061A-4972-4694-96B0-BDB038E8E378}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{6BA4108D-FC9C-433F-AC5D-69A63199456C}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{E1DB2ABA-C04D-48B6-8FBB-C19FEBE0C095}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_1",NA,"7KM-BT_0","KM-TK_0","KM-SE_1"
"{4B2D20F7-D37A-4D31-87B4-2D7FCAF757C4}","","","7JB-BT_1",NA,"7TK_0","7SE_1",NA,"7KM-BT_0","KM-TK_0","KM-SE_1"
