"globalid","kartleggingsenhet_1m2","ano_GT"
"{3A83318C-FE47-4CDD-8CFF-2EE9929D93BC}","V1-C-2","NA V1-9"
"{3A83318C-FE47-4CDD-8CFF-2EE9929D93BC}","V1-C-2","NA V1-6"
"{3A83318C-FE47-4CDD-8CFF-2EE9929D93BC}","V1-C-2","NA V1-8"
"{3A83318C-FE47-4CDD-8CFF-2EE9929D93BC}","V1-C-2","NA V1-7"
"{3904F2C3-69C8-450D-8685-33421432BAFF}","T3-C-2","NA T3-2"
"{9E3D830A-CCF7-4B66-9053-84C33D29A016}","T3-C-2","NA T3-2"
"{628B2427-2D0D-4173-83D5-742F63AA2861}","T2-C-1","NA T2-1"
"{5A58634C-877C-4BD3-849C-C48E11090346}","T4-C-5","NA T4-5"
"{A2C3811C-570A-4420-BDC5-43395872C214}","T4-C-1","NA T4-1"
"{1FAF2BC9-F0BE-433F-8406-E92052E7D1D8}","T4-C-5","NA T4-5"
"{94C7CC45-DD6B-43A2-BA01-5C3C66108216}","T4-C-2","NA T4-2"
"{2B4DCB7E-C75F-4286-BA97-4E934F2F0990}","T4-C-5","NA T4-5"
"{B4583704-3DEB-40A6-B565-460B5426559A}","T4-C-5","NA T4-5"
"{B23B4842-5B0F-4FD6-B138-0882186B18E6}","T4-C-1","NA T4-1"
"{1E23A631-75FA-4829-998E-5B82E93D5087}","T4-C-2","NA T4-2"
"{9AEE6835-EE92-4E88-8D8D-78C11E96778E}","T4-C-5","NA T4-5"
"{FE3221DA-FF67-45BD-B93D-07A963E88269}","T4-C-5","NA T4-5"
"{1A779018-86DC-4CDC-B19F-2B68D4F22666}","T4-C-1","NA T4-1"
"{08DCF210-9F87-490C-8CE7-A0F4E1A40DE2}","T4-C-5","NA T4-5"
"{7DA88824-451B-48F7-BEBF-C3499C5DAE4D}","T4-C-5","NA T4-5"
"{8C390E8F-7537-487C-9380-FE1E530679C5}","T4-C-1","NA T4-1"
"{2B042A48-18A3-42E6-B234-6CE3B6CE3EB4}","T4-C-5","NA T4-5"
"{E9A9BADF-388F-4750-B5B4-3E45D4D7033C}","T4-C-5","NA T4-5"
"{203C7131-E3F6-4D1E-9B3A-1CD197945232}","T4-C-1","NA T4-1"
"{983CAF91-CA09-4D32-91C5-59FEC52D0139}","T38-C-1",NA
"{4EA6FA32-3517-4F23-8534-2290BBB4309D}","T38",NA
"{35B57162-6AFB-4424-867B-068AE1CBEC36}","T35-C-1","NA T35-1"
"{CF720629-68D8-47F5-8274-A591B7A23638}","T32-C-1","NA T32-1"
"{E584659E-710F-42EE-B60F-90691413D960}","T32-C-3","NA T32-3"
"{514C3D5E-CB53-43A8-A079-CB062BCDEAFB}","T38-C-1",NA
"{ED60C8D0-4522-40C8-89AD-839855443481}","T32-C-1","NA T32-1"
"{C951BFD2-0142-44F0-96CC-D67ECFDE8C47}","T4-C-1","NA T4-1"
"{07D3098E-F1F7-4DE6-AA0C-D16490BF226B}","V1-C-5","NA V1-22"
"{07D3098E-F1F7-4DE6-AA0C-D16490BF226B}","V1-C-5","NA V1-21"
"{A4AFF268-BD81-4B98-8EFA-E3B065A1FDB4}","T4-C-1","NA T4-1"
"{B34DCC8A-09E7-4980-921E-D417E9882BA6}","V1-C-5","NA V1-22"
"{B34DCC8A-09E7-4980-921E-D417E9882BA6}","V1-C-5","NA V1-21"
"{7413A0E5-145D-47CE-954F-35B007948DEC}","T32-C-3","NA T32-3"
"{121AE6EC-334D-4CB9-8F3A-82C4FE1CFA64}","T4-C-1","NA T4-1"
"{F9FC127B-7F7B-4A01-82DD-416349647B08}","T38-C-1",NA
